game,installations,rating,reviews,in_app_purchase_min,in_app_purchase_max,avg_in_app_purchases
Jetpack Joyride,100000000,4,8894,0.79,99.99,50.785
Run & Gun: BANDITOS,1000000,3,10,0.99,13.99,7.985
Angry Birds 2,100000000,4,11257,0.99,109.99,55.985
Monster Dash,10000000,4,568,0.99,22.99,12.485
Swamp Attack,100000000,4,1187,0.99,99.99,50.985
Cut the Rope,100000000,4,4875,0.5,130.83,65.915
Q*bert - Classic Arcade Game,1000000,4,123,3.09,20.99,13.584999999999999
Doodle Jump,50000000,4,2118,0.99,11.41,6.695
The Simpsons™:  Tapped Out,100000000,4,11021,0.99,99.99,50.985
Food Gang,5000000,3,141,1.99,99.99,51.985
Minion Rush: Running Game,500000000,4,16986,0.49,99.99,50.485
Rail Rush,50000000,4,925,1.99,79.99,41.985
Super Jungle Jump,1000000,4,4,0.99,104.99,53.485
Golden Axe Classics,1000000,4,14,1.99,4.99,4.485
Dig Out! Gold Digger Adventure,5000000,4,108,0.99,109.99,55.985
"Agent Dash - Run Fast, Dodge Quick!",10000000,4,547,0.99,59.99,30.985
Magic Brick Wars - Epic Card Battles,500000,3,16,0.99,99.99,50.985
Stack,50000000,3,1425,2.0,2.0,3.0
One Gun: Stickman,5000000,4,133,0.59,29.99,15.584999999999999
Sonic Dash - Endless Running,100000000,4,6895,0.99,99.99,50.985
ZigZag,50000000,3,2272,1.99,1.99,2.985
Tap Tap Dash,50000000,4,1856,0.99,4.99,3.4850000000000003
Metal Soldiers 2,50000000,4,148,0.59,24.99,13.084999999999999
Ski Safari 2,10000000,4,204,0.89,8.99,5.385
Tower Conquest: Tower Defense,10000000,4,192,2.09,219.99,112.08500000000001
Bloody Harry,5000000,4,1144,0.95,5.3,3.5999999999999996
Cut the Rope: Time Travel,50000000,4,2477,0.88,29.99,15.875
Hotel Transylvania Adventures,10000000,4,281,1.69,54.99,29.185000000000002
Slash & Girl - Endless Run,5000000,4,48,0.99,249.99,125.985
Badland Brawl,10000000,4,245,1.09,104.99,53.585
Leap Day,1000000,3,214,1.09,54.99,28.585
Ninja Dash Run - Offline Games,10000000,4,121,1.99,79.99,41.985
PAC-MAN,100000000,3,1201,0.99,99.99,50.985
Fruit Ninja 2 Fun Action Games,10000000,3,83,0.99,119.99,60.985
Benji Bananas,50000000,4,7048,0.89,89.99,45.885
Rocky Rampage: Wreck 'em Up,500000,3,18,1.09,64.99,33.585
Zombies Ranch. Zombie shooting,1000000,4,10,0.69,42.99,22.185000000000002
South Park: Phone Destroyer™,10000000,4,2198,0.89,54.99,28.385
Lep's World 3,50000000,4,1976,0.5,99.99,50.495
Lumberwhack: Defend the Wild,1000000,4,16,0.99,109.99,55.985
Magic Touch: Wizard for Hire,10000000,4,38,1.62,7.57,5.405
Manuganu 2,5000000,4,125,0.71,0.71,1.065
Rick and Morty: Pocket Mortys,10000000,3,639,1.09,104.99,53.585
Crash Bandicoot: On the Run!,10000000,4,1131,0.99,109.99,55.985
Flippy Knife,10000000,4,2647,0.99,64.99,33.485
Ballz,10000000,3,445,0.99,2.99,2.4850000000000003
Magic Rampage,10000000,4,205,1.9,21.9,12.85
Dumb Ways to Die 2: The Games,100000000,4,3308,0.81,4.4,3.0100000000000002
Age of Apes,1000000,4,217,1.19,114.99,58.684999999999995
Trials Frontier,10000000,4,1210,0.49,109.99,55.485
Prince of Persia : Escape,5000000,4,222,3.49,3.49,5.235
Boulder Dash® 30th Anniversary,100000,4,41,0.73,109.99,55.724999999999994
Hyperforma,1000000,4,56,0.69,4.99,3.185
Ice Age Adventures,50000000,4,1486,0.99,99.99,50.985
Shadow of Death: Dark Knight,10000000,4,308,0.99,99.99,50.985
Om Nom: Run,10000000,3,90,0.99,29.99,15.985
Rayman Adventures,10000000,4,1886,1.09,109.99,56.085
Color Switch - Official,10000000,4,2126,1.09,8.49,5.335
Catapult Quest,10000000,4,261,2.99,99.99,52.985
Banana Kong,100000000,4,3483,0.89,26.99,14.385
Pineapple Pen,10000000,3,1289,0.99,1.99,1.9849999999999999
Peggle Blast,10000000,3,349,0.99,99.99,50.985
Sonic Forces - Running Battle,50000000,4,1737,0.99,149.99,75.985
Tank 1990: Stars Battle Defense War Ace Hero,5000000,4,13,0.59,49.99,25.585
Best Fiends - Match 3 Puzzles,50000000,4,3894,0.99,99.99,50.985
Inside Out Thought Bubbles,10000000,4,530,1.05,106.27,54.184999999999995
Clusterduck,1000000,4,143,0.99,2.09,2.035
Troll Face Quest: TV Shows,10000000,4,393,2.39,3.59,4.1850000000000005
King of Thieves,10000000,4,2988,0.89,209.99,105.885
Rumble Hockey,1000000,3,12,1.09,104.99,53.585
Trivia Crack 2,10000000,4,1100,1.09,109.99,56.085
Swordigo,10000000,4,524,1.79,2.39,2.9850000000000003
Sling Kong,10000000,4,3473,0.99,19.99,10.985
Zombie Harvest,10000000,4,37,0.89,17.99,9.885
Crazy Dino Park,10000000,4,712,1.09,104.99,53.585
Angry Birds Journey,5000000,4,126,0.99,99.99,50.985
Spartan Firefight,1000000,4,24,2.29,20.99,12.785
Mad Bullets: The Rail Shooter Arcade Game,1000000,4,127,1.09,44.99,23.585
Benji Bananas Adventures,10000000,4,1024,0.89,0.89,1.335
Walk Master,10000000,4,166,0.99,4.99,3.4850000000000003
Looney Tunes™ World of Mayhem,10000000,4,850,0.79,323.79,162.685
Linedoku - Logic Puzzle Games,5000000,4,107,1.19,23.99,13.184999999999999
Boom Slingers,1000000,4,168,1.29,23.99,13.285
Blackmoor 2: Action Platformer,1000000,4,53,0.89,4.49,3.1350000000000002
Apple Knight: Action Platformer,5000000,4,116,1.09,49.99,26.085
Go Escape!,10000000,4,713,3.19,3.19,4.785
Knife Hit,100000000,4,2113,2.09,19.99,12.084999999999999
Super Machino go: world adventure game,10000000,4,21,1.09,21.99,12.084999999999999
Cookies Must Die,1000000,4,34,1.39,69.99,36.385
Top Run: Retro Pixel Adventure,100000,5,5,1.09,10.99,6.585
hocus.,10000000,4,497,0.59,0.59,0.885
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",10000000,3,233,0.99,99.99,50.985
Mega Shooter: Infinity Space War (Galaxy Heroes),1000000,4,5,1.99,39.99,21.985
Antarctica 88: Scary Action Adventure Horror Game,5000000,4,84,0.59,8.99,5.085
Fruit Ninja Classic,1000000,4,140,0.99,49.99,25.985
